Day,Category,Format,Title,Hook,PexelsQuery,Description,Hashtags
14,Skill,howto,How to Unclog a Sink Fast,How to unclog a stubborn sink without harsh chemicals.,kitchen sink water drain,Skip the plumber and do this instead! 🚰 Have you tried this trick? 👇 Consider yourself... Skillificationed.,#homehacks #diy #plumbing #cleaningtips #skillificationed
15,Geography,top10,Top 10 Most Isolated Places,Top 10 most isolated places where people actually live.,remote snowy cabin mountain,"Could you survive living 1,000 miles from civilization? 🏔️ Let us know! 👇 Consider yourself... Skillificationed.",#geography #remote #travel #worldfacts #skillificationed
16,Psych,howto,How to Win at Rock Paper Scissors,The psychological trick to always win Rock Paper Scissors.,playing rock paper scissors,Use this psychology trick on your friends! 🧠 Who are you testing this on? 👇 Consider yourself... Skillificationed.,#psychology #mindtricks #lifehacks #games #skillificationed
17,Thrill,top10,Top 10 Tallest Rollercoasters,"Top 10 tallest, most terrifying rollercoasters.",rollercoaster drop POV,Would you dare to ride number 1? 🎢 Tag a thrill-seeker below! 👇 Consider yourself... Skillificationed.,#rollercoaster #themepark #thrillseeker #scary #skillificationed
18,Skill,howto,How to Pick a Padlock,Lost your key? How to open a padlock with a paperclip.,padlock macro lockpicking,A great emergency skill to have! 🔓 Have you ever successfully picked a lock? 👇 Consider yourself... Skillificationed.,#lockpicking #survivalhacks #skills #diy #skillificationed
19,Culture,top10,Top 10 Happiest Countries,The top 10 happiest countries in the world.,beautiful scandinavian landscape,Did your country make the happiness list? 🌍 Let us know where you are from! 👇 Consider yourself... Skillificationed.,#happiness #travelgram #culture #world #skillificationed
20,Psych,howto,How to Read Body Language,3 signs someone is lying to you based on body language.,people talking body language,Watch out for these 3 subtle signs! 👀 Have you caught someone doing this? 👇 Consider yourself... Skillificationed.,#bodylanguage #psychologyfacts #socialskills #skillificationed
21,Nature,top10,Top 10 Coldest Places on Earth,The top 10 coldest inhabited places on the planet.,antarctica ice blizzard drone,Could you survive minus 90 degrees? 🥶 Let us know your limit! 👇 Consider yourself... Skillificationed.,#winter #extreme #naturefacts #earth #skillificationed
22,Skill,howto,How to Sharpen a Knife,How to get a razor-sharp edge on any kitchen knife.,chef sharpening knife stone,Stop using dull knives! 🔪 Tag a home cook who needs to see this. 👇 Consider yourself... Skillificationed.,#cookinghacks #kitchenskills #chef #howto #skillificationed
23,Arch,top10,Top 10 Most Beautiful Bridges,Top 10 most beautiful and terrifying bridges.,golden gate bridge aerial,Would you look straight down on number 1? 🌉 Drop a comment below! 👇 Consider yourself... Skillificationed.,#architecture #bridges #engineering #travel #skillificationed
24,Survival,howto,How to Start a Fire with a Battery,How to start a survival fire using a battery and gum wrapper.,camp fire sparks,An essential wilderness survival trick. 🔥 Save this for your next camping trip! 👇 Consider yourself... Skillificationed.,#bushcraft #camping #survivalhacks #outdoors #skillificationed
25,Wealth,top10,Top 10 Rarest Gemstones,Top 10 rarest gemstones on Earth—diamonds didn't make it.,glowing gemstone macro crystal,"Forget diamonds, these are much rarer! 💎 Which color is your favorite? 👇 Consider yourself... Skillificationed.",#gemstones #crystals #luxury #geology #skillificationed
26,Skill,howto,How to Fold a Fitted Sheet,The secret to perfectly folding a fitted sheet in seconds.,bed sheets folding laundry,The ultimate adulting hack. 🛏️ Have you mastered this yet? 👇 Consider yourself... Skillificationed.,#laundryhacks #homeorganization #adulting #skillificationed
27,Biz,top10,Top 10 Fast Food Chains by Revenue,Top 10 richest fast food empires in the world.,burger fries macro restaurant,Did your favorite fast food spot make the list? 🍔 Let us know! 👇 Consider yourself... Skillificationed.,#fastfood #business #money #foodie #skillificationed
28,Skill,howto,How to Negotiate a Better Price,The 3-second pause trick to negotiate a lower price.,handshake business deal,Use this psychology trick on your next big purchase! 💰 Have you tried this? 👇 Consider yourself... Skillificationed.,#negotiation #moneytips #finance #business #skillificationed
29,Nature,top10,Top 10 Oldest Living Trees,Top 10 oldest living things on Earth.,ancient giant tree forest,Imagine the history these trees have lived through. 🌲 Mind-blowing! 👇 Consider yourself... Skillificationed.,#nature #trees #ancienthistory #earth #skillificationed
30,Rescue,howto,How to Perform the Heimlich,How to perform the Heimlich maneuver on yourself.,choking rescue heimlich maneuver,A vital skill everyone needs to know. ❤️ Share this with your loved ones! 👇 Consider yourself... Skillificationed.,#firstaid #lifesaver #healthtips #safety #skillificationed
